link,college name,Estd,Rating,Review,facilities,image,Address,contact_no,website
https://collegedunia.com/college/12161-rr-nursing-institutions-bangalore,"RR Nursing Institutions, Bangalore",Private,,,,https://images.collegedunia.com/public/college_data/images/appImage/12161_RRI_New.jpg?w=1286&h=193&mode=stretch,"Raja Reddy Layout, Heseraghatta, Main Road Chikkabanavara, 
 Bangalore - 560090 
 Karnataka ,    India ",",0888-0001111,8050202020",http://www.rrinstitutions.com/all-courses.php#nursing
https://collegedunia.com/college/11824-koshys-college-of-nursing-kcn-bangalore,"Koshys College of Nursing - [KCN], Bangalore",Estd 2003,"8.4,8.4",20 reviews,"Medical,Cafeteria,Library,Laboratory,Comp,Labs,Hostel,Sports,",https://images.collegedunia.com/public/college_data/images/appImage/11824_pncxvh52tkbiud1ummau.jpg?w=1286&h=193&mode=stretch,"Hennur Bagalur Road, Kannur P.O. 
 Bangalore - 562149 
 Karnataka ,    India ",",1800 123334466",http://kcn.edu.in/
https://collegedunia.com/college/10637-kempegowda-institute-of-medical-sciences-kims-bangalore,"Kempegowda Institute of Medical Sciences - [KIMS], Bangalore",Estd 1980,"7.9,7.9",20 reviews,"Sports,Gym,Medical,Library,Hostel,Laboratory,Cafeteria,Comp,Labs,Auditorium,",https://images.collegedunia.com/public/college_data/images/appImage/10637_kvmp.png?w=1286&h=193&mode=stretch,"Banashankari 2nd Stage , 
 Bangalore - 560070 
 Karnataka ,    India ",",080-26715790  ,    26712791  ,    26712792",http://www.kimsbangalore.edu.in
https://collegedunia.com/college/5540-bms-college-of-engineering-bmsce-bangalore,"BMS College of Engineering - [BMSCE], Bangalore",Estd 1946,"8.2,8.2",146 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Laboratory,Library,Auditorium,Hostel,Classrooms,Transport,Communication,Centre,",https://images.collegedunia.com/public/college_data/images/appImage/15039118081444130911BMSCENew.jpg?w=1286&h=193&mode=stretch,"P.O. Box No.: 1908 Bull Temple Road, 
 Bangalore - 560019 
 Karnataka ,    India ",",080-26622130  ,    26622135  ,    26614357",http://www.bmsce.in/
https://collegedunia.com/college/28327-the-national-degree-college-bangalore,"The National Degree College, Bangalore","BU, Bangalore","7.3,7.3",14 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Laboratory,Library,Hostel,Auditorium,",https://images.collegedunia.com/public/college_data/images/appImage/28327_TNDC_APP.jpg?w=1286&h=193&mode=stretch,"Pampa Mahakavi Road, Basavanagudi 
 Bangalore - 560064 
 Karnataka ,    India ",",080-26674441",http://ncbgudi.com/
https://collegedunia.com/college/10391-dr-br-ambedkar-medical-college-bramc-bangalore,"Dr. B.R. Ambedkar Medical College - [BRAMC], Bangalore",Estd 1981,"6.7,6.7",5 reviews,"Medical,Library,Auditorium,Hostel,Comp,Labs,Sports,Cafeteria,Transport,Wi-Fi,Campus,Classrooms,",https://images.collegedunia.com/public/college_data/images/appImage/15097084021468907326jkl.png?w=1286&h=193&mode=stretch,"Kadugondanahalli 
 Bangalore - 560045 
 Karnataka ,    India ",",080-25476498  ,    2822323",http://www.bramc.org/
https://collegedunia.com/college/2618-mes-college-of-arts-commerce-and-science-bangalore,"MES College of Arts, Commerce & Science, Bangalore",Estd 1956,"7.2,7.2",39 reviews,"Library,Laboratory,Canteen,Comp,Labs,Banks,Medical,Auditorium,Classrooms,Cafeteria,Swimming,Pool,",https://images.collegedunia.com/public/college_data/images/appImage/2618_MESC.jpg?w=1286&h=193&mode=stretch,"15th Cross, Prof. MPL Sastry Road, Malleshwaram 
 Bangalore - 560003 
 Karnataka ,    India ",",080-23341225",http://www.mesinstitutions.org.in/mesdegree/
https://collegedunia.com/college/11077-st-johns-medical-college-bangalore,"St John's Medical College, Bangalore",Estd 1963,"8.6,8.6",10 reviews,"Medical,Hostel,Gym,Sports,Library,Laboratory,Cafeteria,Comp,Labs,Auditorium,Transport,Communication,Centre,E-Classroom,Wi-Fi,Campus,",https://images.collegedunia.com/public/college_data/images/appImage/11077_SJMCB_APP.jpg?w=1286&h=193&mode=stretch,"Sarjapur Road, Opp BDA Complex 
 Bangalore - 560034 
 Karnataka ,    India ",",080- 22065000  ,    22065001",http://www.stjohns.in
https://collegedunia.com/college/10187-visveswarapura-institute-of-pharmaceutical-sciences-vips-bangalore,"Visveswarapura Institute of Pharmaceutical Sciences - [VIPS], Bangalore",Estd 1980,"9.3,9.3",2 reviews,"Hostel,Transport,Auditorium,Library,Medical,",https://images.collegedunia.com/public/college_data/images/appImage/10187_L.png?w=1286&h=193&mode=stretch,"22nd Main, 24th Cross, Opp. to B.D.A. Complex B.S.K. 2nd Stage 
 Bangalore - 560070 
 Karnataka ,    India ",",080-26711851  ,    26711861",http://vips.edu.in/
https://collegedunia.com/college/10190-vivekananda-college-of-pharmacy-vcp-bangalore,"Vivekananda College of Pharmacy - [VCP], Bangalore",Estd 1983,"8.4,8.4",2 reviews,"Medical,Transport,Sports,Comp,Labs,Laboratory,Library,Auditorium,",https://images.collegedunia.com/public/college_data/images/appImage/10190_Capture brbrbrcvr 1 edt.png?w=1286&h=193&mode=stretch,"Rajajinagar II Stage, Dr.Rajkumar Road, 
 Bangalore - 560055 
 Karnataka ,    India ",",080-23377434  ,    3371952",http://vcpjes.edu.in/index.php
